key,en,fr,es,de
# --- Pokemon names (generated by `pnpm i18n:names` from PokeAPI),,,,
pokemon.1,Bulbasaur,Bulbizarre,Bulbasaur,Bisasam
pokemon.2,Ivysaur,Herbizarre,Ivysaur,Bisaknosp
pokemon.3,Venusaur,Florizarre,Venusaur,Bisaflor
pokemon.4,Charmander,Salamèche,Charmander,Glumanda
pokemon.5,Charmeleon,Reptincel,Charmeleon,Glutexo
pokemon.6,Charizard,Dracaufeu,Charizard,Glurak
pokemon.7,Squirtle,Carapuce,Squirtle,Schiggy
pokemon.8,Wartortle,Carabaffe,Wartortle,Schillok
pokemon.9,Blastoise,Tortank,Blastoise,Turtok
pokemon.10,Caterpie,Chenipan,Caterpie,Raupy
pokemon.11,Metapod,Chrysacier,Metapod,Safcon
pokemon.12,Butterfree,Papilusion,Butterfree,Smettbo
pokemon.13,Weedle,Aspicot,Weedle,Hornliu
pokemon.14,Kakuna,Coconfort,Kakuna,Kokuna
pokemon.15,Beedrill,Dardargnan,Beedrill,Bibor
pokemon.16,Pidgey,Roucool,Pidgey,Taubsi
pokemon.17,Pidgeotto,Roucoups,Pidgeotto,Tauboga
pokemon.18,Pidgeot,Roucarnage,Pidgeot,Tauboss
pokemon.19,Rattata,Rattata,Rattata,Rattfratz
pokemon.20,Raticate,Rattatac,Raticate,Rattikarl
pokemon.21,Spearow,Piafabec,Spearow,Habitak
pokemon.22,Fearow,Rapasdepic,Fearow,Ibitak
pokemon.23,Ekans,Abo,Ekans,Rettan
pokemon.24,Arbok,Arbok,Arbok,Arbok
pokemon.25,Pikachu,Pikachu,Pikachu,Pikachu
pokemon.26,Raichu,Raichu,Raichu,Raichu
pokemon.27,Sandshrew,Sabelette,Sandshrew,Sandan
pokemon.28,Sandslash,Sablaireau,Sandslash,Sandamer
pokemon.29,Nidoran♀,Nidoran♀,Nidoran♀,Nidoran♀
pokemon.30,Nidorina,Nidorina,Nidorina,Nidorina
pokemon.31,Nidoqueen,Nidoqueen,Nidoqueen,Nidoqueen
pokemon.32,Nidoran♂,Nidoran♂,Nidoran♂,Nidoran♂
pokemon.33,Nidorino,Nidorino,Nidorino,Nidorino
pokemon.34,Nidoking,Nidoking,Nidoking,Nidoking
pokemon.35,Clefairy,Mélofée,Clefairy,Piepi
pokemon.36,Clefable,Mélodelfe,Clefable,Pixi
pokemon.37,Vulpix,Goupix,Vulpix,Vulpix
pokemon.38,Ninetales,Feunard,Ninetales,Vulnona
pokemon.39,Jigglypuff,Rondoudou,Jigglypuff,Pummeluff
pokemon.40,Wigglytuff,Grodoudou,Wigglytuff,Knuddeluff
pokemon.41,Zubat,Nosferapti,Zubat,Zubat
pokemon.42,Golbat,Nosferalto,Golbat,Golbat
pokemon.43,Oddish,Mystherbe,Oddish,Myrapla
pokemon.44,Gloom,Ortide,Gloom,Duflor
pokemon.45,Vileplume,Rafflesia,Vileplume,Giflor
pokemon.46,Paras,Paras,Paras,Paras
pokemon.47,Parasect,Parasect,Parasect,Parasek
pokemon.48,Venonat,Mimitoss,Venonat,Bluzuk
pokemon.49,Venomoth,Aéromite,Venomoth,Omot
pokemon.50,Diglett,Taupiqueur,Diglett,Digda
pokemon.51,Dugtrio,Triopikeur,Dugtrio,Digdri
pokemon.52,Meowth,Miaouss,Meowth,Mauzi
pokemon.53,Persian,Persian,Persian,Snobilikat
pokemon.54,Psyduck,Psykokwak,Psyduck,Enton
pokemon.55,Golduck,Akwakwak,Golduck,Entoron
pokemon.56,Mankey,Férosinge,Mankey,Menki
pokemon.57,Primeape,Colossinge,Primeape,Rasaff
pokemon.58,Growlithe,Caninos,Growlithe,Fukano
pokemon.59,Arcanine,Arcanin,Arcanine,Arkani
pokemon.60,Poliwag,Ptitard,Poliwag,Quapsel
pokemon.61,Poliwhirl,Têtarte,Poliwhirl,Quaputzi
pokemon.62,Poliwrath,Tartard,Poliwrath,Quappo
pokemon.63,Abra,Abra,Abra,Abra
pokemon.64,Kadabra,Kadabra,Kadabra,Kadabra
pokemon.65,Alakazam,Alakazam,Alakazam,Simsala
pokemon.66,Machop,Machoc,Machop,Machollo
pokemon.67,Machoke,Machopeur,Machoke,Maschock
pokemon.68,Machamp,Mackogneur,Machamp,Machomei
pokemon.69,Bellsprout,Chétiflor,Bellsprout,Knofensa
pokemon.70,Weepinbell,Boustiflor,Weepinbell,Ultrigaria
pokemon.71,Victreebel,Empiflor,Victreebel,Sarzenia
pokemon.72,Tentacool,Tentacool,Tentacool,Tentacha
pokemon.73,Tentacruel,Tentacruel,Tentacruel,Tentoxa
pokemon.74,Geodude,Racaillou,Geodude,Kleinstein
pokemon.75,Graveler,Gravalanch,Graveler,Georok
pokemon.76,Golem,Grolem,Golem,Geowaz
pokemon.77,Ponyta,Ponyta,Ponyta,Ponita
pokemon.78,Rapidash,Galopa,Rapidash,Gallopa
pokemon.79,Slowpoke,Ramoloss,Slowpoke,Flegmon
pokemon.80,Slowbro,Flagadoss,Slowbro,Lahmus
pokemon.81,Magnemite,Magnéti,Magnemite,Magnetilo
pokemon.82,Magneton,Magnéton,Magneton,Magneton
pokemon.83,Farfetch’d,Canarticho,Farfetch’d,Porenta
pokemon.84,Doduo,Doduo,Doduo,Dodu
pokemon.85,Dodrio,Dodrio,Dodrio,Dodri
pokemon.86,Seel,Otaria,Seel,Jurob
pokemon.87,Dewgong,Lamantine,Dewgong,Jugong
pokemon.88,Grimer,Tadmorv,Grimer,Sleima
pokemon.89,Muk,Grotadmorv,Muk,Sleimok
pokemon.90,Shellder,Kokiyas,Shellder,Muschas
